"hospital_name","city","state","county_name","hospital_type","hospital_ownership","emergency_services","beds","trauma","mortality_national_comparison","rating"
"PENOBSCOT VALLEY HOSPITAL","LINCOLN","ME","PENOBSCOT","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"ST CATHERINE HOSPITAL","GARDEN CITY","KS","FINNEY","Acute Care Hospitals","Voluntary non-profit - Private","True",132,"NOT AVAILABLE","Same as the National average","3.0"
"SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS","BRUNSWICK","GA","GLYNN","Acute Care Hospitals","Government - Hospital District or Authority","True",300,"NOT AVAILABLE","Below the National average","2.0"
"PUTNAM GENERAL HOSPITAL","EATONTON","GA","PUTNAM","Critical Access Hospitals","Government - Hospital District or Authority","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"NEWTON MEDICAL CENTER","NEWTON","KS","HARVEY","Acute Care Hospitals","Voluntary non-profit - Private","True",103,"NOT AVAILABLE","Same as the National average","4.0"
"NEWTON MEDICAL CENTER","NEWTON","KS","HARVEY","Acute Care Hospitals","Voluntary non-profit - Private","True",146,"NOT AVAILABLE","Same as the National average","4.0"
"BAYSTATE MEDICAL CENTER","SPRINGFIELD","MA","HAMPDEN","Acute Care Hospitals","Voluntary non-profit - Private","True",724,"LEVEL I, LEVEL II PEDIATRIC","Above the National average","3.0"
"CGH MEDICAL CENTER","STERLING","IL","WHITESIDE","Acute Care Hospitals","Government - Local","True",99,"NOT AVAILABLE","Same as the National average","4.0"
"METHODIST HOSPITAL","HENDERSON","KY","HENDERSON","Acute Care Hospitals","Voluntary non-profit - Church","True",423,"NOT AVAILABLE","Same as the National average","4.0"
"METHODIST HOSPITAL","HENDERSON","KY","HENDERSON","Acute Care Hospitals","Voluntary non-profit - Church","True",933,"LEVEL III","Same as the National average","4.0"
"METHODIST HOSPITAL","HENDERSON","KY","HENDERSON","Acute Care Hospitals","Voluntary non-profit - Church","True",192,"NOT AVAILABLE","Same as the National average","4.0"
"MADISON MEMORIAL HOSPITAL","REXBURG","ID","MADISON","Acute Care Hospitals","Government - Local","True",69,"NOT AVAILABLE","Same as the National average","3.0"
"MIAMI COUNTY MEDICAL CENTER","PAOLA","KS","MIAMI","Acute Care Hospitals","Government - Hospital District or Authority","True",18,"LEVEL IV","Same as the National average","4.0"
"SAINT ANNE'S HOSPITAL","FALL RIVER","MA","BRISTOL","Acute Care Hospitals","Proprietary","True",185,"NOT AVAILABLE","Above the National average","4.0"
"HEART HOSPITAL OF LAFAYETTE","LAFAYETTE","LA","LAFAYETTE","Acute Care Hospitals","Proprietary","True",32,"NOT AVAILABLE","Same as the National average","4.0"
"PELLA REGIONAL HEALTH CENTER","PELLA","IA","MARION","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"LEVEL III","Same as the National average","4.0"
"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","ANDERSON","IN","MADISON","Acute Care Hospitals","Voluntary non-profit - Private","True",137,"LEVEL III","Above the National average","4.0"
"HIAWATHA COMMUNITY HOSPITAL","HIAWATHA","KS","BROWN","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"LEVEL IV","Same as the National average","3.0"
"VALLEY WEST COMMUNITY HOSPITAL","SANDWICH","IL","DEKALB","Critical Access Hospitals","Voluntary non-profit - Private","True",24,"NOT AVAILABLE","Same as the National average","4.0"
"ST VINCENT HEART CENTER OF INDIANA LLC","INDIANAPOLIS","IN","HAMILTON","Acute Care Hospitals","Proprietary","True",107,"NOT AVAILABLE","Same as the National average","4.0"
"OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER","BATON ROUGE","LA","EAST BATON ROUGE","Acute Care Hospitals","Voluntary non-profit - Church","True",1042,"LEVEL II","Below the National average","2.0"
"SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL","ZEELAND","MI","OTTAWA","Acute Care Hospitals","Voluntary non-profit - Private","True",57,"NOT AVAILABLE","Same as the National average","4.0"
"DESOTO REGIONAL HEALTH SYSTEM","MANSFIELD","LA","DE SOTO","Acute Care Hospitals","Voluntary non-profit - Private","True",34,"NOT AVAILABLE","Same as the National average","3.0"
"RUSH MEMORIAL HOSPITAL","RUSHVILLE","IN","RUSH","Critical Access Hospitals","Government - Local","True",25,"NOT AVAILABLE","Same as the National average","2.0"
"T J HEALTH COLUMBIA","COLUMBIA","KY","ADAIR","Acute Care Hospitals","Government - Hospital District or Authority","True",74,"NOT AVAILABLE","Same as the National average","4.0"
"DEKALB MEDICAL CENTER","DECATUR","GA","DEKALB","Acute Care Hospitals","Voluntary non-profit - Private","True",451,"NOT AVAILABLE","Same as the National average","2.0"
"ST JOSEPHS HOSPITAL","BREESE","IL","CLINTON","Acute Care Hospitals","Voluntary non-profit - Church","True",70,"NOT AVAILABLE","Same as the National average","5.0"
"ST JOSEPHS HOSPITAL","BREESE","IL","CLINTON","Acute Care Hospitals","Voluntary non-profit - Church","True",193,"LEVEL III","Same as the National average","5.0"
"ST JOSEPHS HOSPITAL","BREESE","IL","CLINTON","Acute Care Hospitals","Voluntary non-profit - Church","True",125,"NOT AVAILABLE","Same as the National average","5.0"
"ST JOSEPHS HOSPITAL","BREESE","IL","CLINTON","Acute Care Hospitals","Voluntary non-profit - Church","True",227,"NOT AVAILABLE","Same as the National average","5.0"
"UNIVERSITY HOSPITAL","AUGUSTA","GA","RICHMOND","Acute Care Hospitals","Voluntary non-profit - Other","True",-999,"NOT AVAILABLE","Same as the National average","4.0"
"UNIVERSITY HOSPITAL","AUGUSTA","GA","RICHMOND","Acute Care Hospitals","Voluntary non-profit - Other","True",-999,"NOT AVAILABLE","Same as the National average","4.0"
"UNIVERSITY HOSPITAL","AUGUSTA","GA","RICHMOND","Acute Care Hospitals","Voluntary non-profit - Other","True",812,"NOT AVAILABLE","Same as the National average","4.0"
"UNIVERSITY HOSPITAL","AUGUSTA","GA","RICHMOND","Acute Care Hospitals","Voluntary non-profit - Other","True",1034,"LEVEL I","Same as the National average","4.0"
"FREDONIA REGIONAL HOSPITAL","FREDONIA","KS","WILSON","Critical Access Hospitals","Government - Local","True",34,"NOT AVAILABLE","Same as the National average","3.0"
"MONROE COUNTY MEDICAL CENTER","TOMPKINSVILLE","KY","MONROE","Acute Care Hospitals","Voluntary non-profit - Other","True",49,"NOT AVAILABLE","Same as the National average","2.0"
"SOUTHERN SURGICAL HOSPITAL","SLIDELL","LA","SAINT TAMMANY","Acute Care Hospitals","Physician","False",37,"NOT AVAILABLE","Not Available","4.0"
"ST MARGARETS HOSPITAL","SPRING VALLEY","IL","BUREAU","Acute Care Hospitals","Voluntary non-profit - Private","True",69,"NOT AVAILABLE","Same as the National average","4.0"
"BAYSTATE FRANKLIN MEDICAL CENTER","GREENFIELD","MA","FRANKLIN","Acute Care Hospitals","Voluntary non-profit - Private","True",89,"NOT AVAILABLE","Same as the National average","3.0"
"PARKVIEW WHITLEY HOSPITAL","COLUMBIA CITY","IN","WHITLEY","Acute Care Hospitals","Voluntary non-profit - Private","True",30,"NOT AVAILABLE","Same as the National average","4.0"
"GALESBURG COTTAGE HOSPITAL","GALESBURG","IL","KNOX","Acute Care Hospitals","Proprietary","True",119,"LEVEL II","Same as the National average","3.0"
"AVOYELLES HOSPITAL","MARKSVILLE","LA","AVOYELLES","Acute Care Hospitals","Proprietary","True",35,"NOT AVAILABLE","Same as the National average","3.0"
"GEARY COMMUNITY HOSPITAL","JUNCTION CITY","KS","GEARY","Acute Care Hospitals","Government - Local","True",92,"NOT AVAILABLE","Same as the National average","3.0"
"OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL","GREENVILLE","KY","MUHLENBERG","Acute Care Hospitals","Voluntary non-profit - Private","True",90,"NOT AVAILABLE","Same as the National average","3.0"
"KATHERINE SHAW BETHEA HOSPITAL","DIXON","IL","LEE","Acute Care Hospitals","Voluntary non-profit - Private","True",80,"NOT AVAILABLE","Same as the National average","3.0"
"RIVERSIDE MEDICAL CENTER","KANKAKEE","IL","KANKAKEE","Acute Care Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Above the National average","5.0"
"RIVERSIDE MEDICAL CENTER","KANKAKEE","IL","KANKAKEE","Acute Care Hospitals","Voluntary non-profit - Private","True",325,"LEVEL II","Above the National average","5.0"
"NORTHWESTERN LAKE FOREST HOSPITAL","LAKE FOREST","IL","LAKE","Acute Care Hospitals","Voluntary non-profit - Other","True",114,"LEVEL II","Above the National average","3.0"
"HAZARD ARH REGIONAL MEDICAL CENTER","HAZARD","KY","PERRY","Acute Care Hospitals","Voluntary non-profit - Private","True",358,"NOT AVAILABLE","Same as the National average","2.0"
"WILLIAM NEWTON HOSPITAL","WINFIELD","KS","COWLEY","Critical Access Hospitals","Government - Local","True",25,"LEVEL IV","Same as the National average","4.0"
"OSCEOLA COMMUNITY HOSPITAL","SIBLEY","IA","OSCEOLA","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"LEVEL IV","Same as the National average","4.0"
"HAYS MEDICAL CENTER","HAYS","KS","ELLIS","Acute Care Hospitals","Voluntary non-profit - Other","True",172,"LEVEL III","Same as the National average","3.0"
"TIFT REGIONAL MEDICAL CENTER","TIFTON","GA","TIFT","Acute Care Hospitals","Government - Hospital District or Authority","True",241,"NOT AVAILABLE","Same as the National average","3.0"
"CASTLE MEDICAL CENTER","KAILUA","HI","HONOLULU","Acute Care Hospitals","Voluntary non-profit - Church","True",160,"NOT AVAILABLE","Same as the National average","3.0"
"FAIRVIEW HOSPITAL","GREAT BARRINGTON","MA","BERKSHIRE","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"IOWA METHODIST MEDICAL CENTER","DES MOINES","IA","POLK","Acute Care Hospitals","Voluntary non-profit - Private","True",460,"LEVEL I, LEVEL II PEDIATRIC","Below the National average","3.0"
"BOURBON COMMUNITY HOSPITAL","PARIS","KY","BOURBON","Acute Care Hospitals","Proprietary","True",58,"NOT AVAILABLE","Same as the National average","3.0"
"EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER","DANVILLE","KY","BOYLE","Acute Care Hospitals","Voluntary non-profit - Private","True",197,"LEVEL III","Same as the National average","2.0"
"GREAT RIVER MEDICAL CENTER","WEST BURLINGTON","IA","DES MOINES","Acute Care Hospitals","Voluntary non-profit - Private","True",213,"LEVEL III","Same as the National average","2.0"
"GREAT RIVER MEDICAL CENTER","WEST BURLINGTON","IA","DES MOINES","Acute Care Hospitals","Voluntary non-profit - Private","True",168,"LEVEL IV","Same as the National average","2.0"
"HUTCHINSON REGIONAL MEDICAL CENTER INC","HUTCHINSON","KS","RENO","Acute Care Hospitals","Proprietary","True",213,"LEVEL III","Below the National average","2.0"
"LAKE CHARLES MEMORIAL HOSPITAL","LAKE CHARLES","LA","CALCASIEU","Acute Care Hospitals","Voluntary non-profit - Private","True",306,"LEVEL III","Below the National average","3.0"
"WELLSTAR COBB HOSPITAL","AUSTELL","GA","COBB","Acute Care Hospitals","Voluntary non-profit - Other","True",372,"LEVEL III","Above the National average","2.0"
"HIGHLANDS REGIONAL MEDICAL CENTER","PRESTONSBURG","KY","FLOYD","Acute Care Hospitals","Proprietary","True",126,"NOT AVAILABLE","Same as the National average","2.0"
"HIGHLANDS REGIONAL MEDICAL CENTER","PRESTONSBURG","KY","FLOYD","Acute Care Hospitals","Proprietary","True",174,"NOT AVAILABLE","Same as the National average","2.0"
"HARLAN ARH HOSPITAL","HARLAN","KY","HARLAN","Acute Care Hospitals","Voluntary non-profit - Other","True",150,"LEVEL IV","Same as the National average","2.0"
"PROVIDENCE MEDICAL CENTER","KANSAS CITY","KS","WYANDOTTE","Acute Care Hospitals","Voluntary non-profit - Church","True",400,"LEVEL IV","Same as the National average","4.0"
"PROVIDENCE MEDICAL CENTER","KANSAS CITY","KS","WYANDOTTE","Acute Care Hospitals","Voluntary non-profit - Church","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"MONROE COUNTY HOSPITAL","FORSYTH","GA","MONROE","Critical Access Hospitals","Government - Hospital District or Authority","True",25,"LEVEL IV","Not Available","3.0"
"MONROE COUNTY HOSPITAL","FORSYTH","GA","MONROE","Critical Access Hospitals","Government - Hospital District or Authority","True",94,"LEVEL III","Not Available","3.0"
"MONROE COUNTY HOSPITAL","FORSYTH","GA","MONROE","Critical Access Hospitals","Government - Hospital District or Authority","True",25,"NOT AVAILABLE","Not Available","3.0"
"ORTHOINDY HOSPITAL","INDIANAPOLIS","IN","MARION","Acute Care Hospitals","Physician","False",38,"NOT AVAILABLE","Not Available","5.0"
"KONA COMMUNITY HOSPITAL","KEALAKEKUA","HI","HAWAII","Acute Care Hospitals","Government - State","True",94,"NOT AVAILABLE","Same as the National average","2.0"
"MERCY MEDICAL CENTER-NORTH IOWA","MASON CITY","IA","CERRO GORDO","Acute Care Hospitals","Voluntary non-profit - Church","True",346,"LEVEL II","Below the National average","3.0"
"T J SAMSON COMMUNITY HOSPITAL","GLASGOW","KY","BARREN","Acute Care Hospitals","Voluntary non-profit - Other","True",180,"NOT AVAILABLE","Same as the National average","3.0"
"LABETTE HEALTH","PARSONS","KS","LABETTE","Acute Care Hospitals","Government - Local","True",55,"LEVEL III","Same as the National average","4.0"
"UNION HOSPITAL CLINTON","CLINTON","IN","VERMILLION","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"HENRY COUNTY MEMORIAL HOSPITAL","NEW CASTLE","IN","HENRY","Acute Care Hospitals","Government - Local","True",90,"NOT AVAILABLE","Same as the National average","4.0"
"EMORY UNIVERSITY HOSPITAL MIDTOWN","ATLANTA","GA","FULTON","Acute Care Hospitals","Voluntary non-profit - Private","True",529,"NOT AVAILABLE","Above the National average","3.0"
"DECATUR MEMORIAL HOSPITAL","DECATUR","IL","MACON","Acute Care Hospitals","Voluntary non-profit - Other","True",188,"LEVEL II","Same as the National average","3.0"
"RIVERVIEW HEALTH","NOBLESVILLE","IN","HAMILTON","Acute Care Hospitals","Government - Local","True",162,"NOT AVAILABLE","Same as the National average","3.0"
"GENESIS MEDICAL CENTER-DAVENPORT","DAVENPORT","IA","SCOTT","Acute Care Hospitals","Voluntary non-profit - Other","True",502,"LEVEL II","Above the National average","4.0"
"TOURO INFIRMARY","NEW ORLEANS","LA","ORLEANS","Acute Care Hospitals","Voluntary non-profit - Private","True",411,"NOT AVAILABLE","Same as the National average","3.0"
"WITHAM HEALTH SERVICES","LEBANON","IN","BOONE","Acute Care Hospitals","Government - Local","True",52,"NOT AVAILABLE","Same as the National average","4.0"
"FERRELL HOSPITAL COMMUNITY FOUNDATIONS","ELDORADO","IL","SALINE","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","2.0"
"PUTNAM COUNTY HOSPITAL","GREENCASTLE","IN","PUTNAM","Critical Access Hospitals","Government - Local","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"MOREHOUSE GENERAL HOSPITAL","BASTROP","LA","MOREHOUSE","Acute Care Hospitals","Government - Hospital District or Authority","True",22,"NOT AVAILABLE","Same as the National average","2.0"
"BRIGHAM AND WOMEN'S FAULKNER HOSPITAL","BOSTON","MA","SUFFOLK","Acute Care Hospitals","Voluntary non-profit - Private","True",150,"NOT AVAILABLE","Above the National average","4.0"
"SPRING VIEW HOSPITAL","LEBANON","KY","MARION","Acute Care Hospitals","Proprietary","True",75,"NOT AVAILABLE","Same as the National average","3.0"
"UNIVERSITY OF IOWA HOSPITAL & CLINICS","IOWA CITY","IA","JOHNSON","Acute Care Hospitals","Government - State","True",1103,"LEVEL I, LEVEL I PEDIATRIC","Same as the National average","4.0"
"GRADY GENERAL HOSPITAL","CAIRO","GA","GRADY","Acute Care Hospitals","Voluntary non-profit - Private","True",60,"NOT AVAILABLE","Same as the National average","4.0"
"SARTORI MEMORIAL HOSPITAL","CEDAR FALLS","IA","BLACK HAWK","Acute Care Hospitals","Voluntary non-profit - Church","True",101,"LEVEL IV","Same as the National average","3.0"
"HAMMOND HENRY HOSPITAL","GENESEO","IL","HENRY","Critical Access Hospitals","Government - Hospital District or Authority","True",61,"NOT AVAILABLE","Same as the National average","4.0"
"MERCY MEDICAL CENTER-CLINTON","CLINTON","IA","CLINTON","Acute Care Hospitals","Voluntary non-profit - Private","True",175,"LEVEL IV","Same as the National average","3.0"
"MEMORIAL MEDICAL CENTER","SPRINGFIELD","IL","SANGAMON","Acute Care Hospitals","Voluntary non-profit - Private","True",199,"NOT AVAILABLE","Below the National average","2.0"
"MEMORIAL MEDICAL CENTER","SPRINGFIELD","IL","SANGAMON","Acute Care Hospitals","Voluntary non-profit - Private","True",25,"LEVEL IV","Below the National average","2.0"
"MEMORIAL MEDICAL CENTER","SPRINGFIELD","IL","SANGAMON","Acute Care Hospitals","Voluntary non-profit - Private","True",35,"NOT AVAILABLE","Below the National average","2.0"
"MEMORIAL MEDICAL CENTER","SPRINGFIELD","IL","SANGAMON","Acute Care Hospitals","Voluntary non-profit - Private","True",473,"LEVEL I","Below the National average","2.0"
"ARTESIA GENERAL HOSPITAL","ARTESIA","NM","EDDY","Acute Care Hospitals","Government - Hospital District or Authority","True",49,"NOT AVAILABLE","Same as the National average","3.0"
"NORTHEAST GEORGIA MEDICAL CENTER, INC","GAINESVILLE","GA","HALL","Acute Care Hospitals","Government - Local","True",657,"LEVEL II","Same as the National average","3.0"
"CROSSROADS COMMUNITY HOSPITAL","MOUNT VERNON","IL","JEFFERSON","Acute Care Hospitals","Proprietary","True",41,"NOT AVAILABLE","Same as the National average","3.0"
"TULANE MEDICAL CENTER","NEW ORLEANS","LA","ORLEANS","Acute Care Hospitals","Proprietary","True",327,"NOT AVAILABLE","Same as the National average","2.0"
"THE MEDICAL CENTER AT SCOTTSVILLE","SCOTTSVILLE","KY","ALLEN","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","MICHIGAN CITY","IN","LA PORTE","Acute Care Hospitals","Voluntary non-profit - Church","True",150,"NOT AVAILABLE","Same as the National average","3.0"
"COMMUNITY HOWARD REGIONAL HEALTH INC","KOKOMO","IN","HOWARD","Acute Care Hospitals","Voluntary non-profit - Private","True",86,"NOT AVAILABLE","Same as the National average","3.0"
"IU HEALTH WEST HOSPITAL","AVON","IN","HENDRICKS","Acute Care Hospitals","Proprietary","True",127,"NOT AVAILABLE","Above the National average","5.0"
"LIBERTY REGIONAL MEDICAL CENTER","HINESVILLE","GA","LIBERTY","Critical Access Hospitals","Government - Hospital District or Authority","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"NEWMAN REGIONAL HEALTH","EMPORIA","KS","LYON","Critical Access Hospitals","Government - Local","True",59,"LEVEL IV","Same as the National average","3.0"
"UNION HOSPITAL INC","TERRE HAUTE","IN","VIGO","Acute Care Hospitals","Voluntary non-profit - Other","True",211,"LEVEL III","Same as the National average","3.0"
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","BURLINGTON","MA","MIDDLESEX","Acute Care Hospitals","Voluntary non-profit - Private","True",335,"LEVEL I","Above the National average","3.0"
"GRAHAM COUNTY HOSPITAL","HILL CITY","KS","GRAHAM","Critical Access Hospitals","Government - Local","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"NEWTON-WELLESLEY HOSPITAL","NEWTON","MA","MIDDLESEX","Acute Care Hospitals","Voluntary non-profit - Other","True",265,"NOT AVAILABLE","Above the National average","4.0"
"ST MARYS HOSPITAL","DECATUR","IL","MACON","Acute Care Hospitals","Voluntary non-profit - Private","True",244,"NOT AVAILABLE","Same as the National average","2.0"
"ST MARYS HOSPITAL","DECATUR","IL","MACON","Acute Care Hospitals","Voluntary non-profit - Private","True",98,"NOT AVAILABLE","Same as the National average","2.0"
"WINCHESTER HOSPITAL","WINCHESTER","MA","MIDDLESEX","Acute Care Hospitals","Voluntary non-profit - Private","True",189,"NOT AVAILABLE","Above the National average","4.0"
"OUR LADY OF BELLEFONTE HOSPITAL","ASHLAND","KY","BOYD","Acute Care Hospitals","Voluntary non-profit - Private","True",190,"NOT AVAILABLE","Same as the National average","3.0"
"ST CATHERINE HOSPITAL INC","EAST CHICAGO","IN","LAKE","Acute Care Hospitals","Voluntary non-profit - Private","True",220,"NOT AVAILABLE","Above the National average","5.0"
"ST VINCENT FISHERS HOSPITAL INC","FISHERS","IN","HAMILTON","Acute Care Hospitals","Voluntary non-profit - Private","True",46,"NOT AVAILABLE","Not Available","4.0"
"SOUTHWEST MEDICAL CENTER","LIBERAL","KS","SEWARD","Acute Care Hospitals","Government - Local","True",101,"NOT AVAILABLE","Same as the National average","4.0"
"PERRY HOSPITAL","PERRY","GA","HOUSTON","Acute Care Hospitals","Voluntary non-profit - Private","True",39,"NOT AVAILABLE","Same as the National average","3.0"
"ELBERT MEMORIAL HOSPITAL","ELBERTON","GA","ELBERT","Acute Care Hospitals","Government - Hospital District or Authority","True",52,"NOT AVAILABLE","Same as the National average","4.0"
"NORTHERN MAINE MEDICAL CENTER","FORT KENT","ME","AROOSTOOK","Acute Care Hospitals","Voluntary non-profit - Private","True",49,"NOT AVAILABLE","Same as the National average","4.0"
"DAUTERIVE HOSPITAL","NEW IBERIA","LA","IBERIA","Acute Care Hospitals","Proprietary","True",103,"NOT AVAILABLE","Same as the National average","3.0"
"JEFFERSON COUNTY HEALTH CENTER","FAIRFIELD","IA","JEFFERSON","Critical Access Hospitals","Government - Local","True",25,"LEVEL IV","Same as the National average","4.0"
"HIGGINS GENERAL HOSPITAL","BREMEN","GA","HARALSON","Critical Access Hospitals","Government - Hospital District or Authority","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"EPHRAIM MCDOWELL FORT LOGAN HOSPITAL","STANFORD","KY","LINCOLN","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"LEVEL IV","Not Available","3.0"
"REID HEALTH","RICHMOND","IN","WAYNE","Acute Care Hospitals","Voluntary non-profit - Private","True",221,"LEVEL III","Same as the National average","4.0"
"PARIS COMMUNITY HOSPITAL","PARIS","IL","EDGAR","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"P & S SURGICAL HOSPITAL","MONROE","LA","OUACHITA","Acute Care Hospitals","Physician","False",22,"NOT AVAILABLE","Not Available","5.0"
"FLAGET MEMORIAL HOSPITAL","BARDSTOWN","KY","NELSON","Acute Care Hospitals","Voluntary non-profit - Private","True",40,"NOT AVAILABLE","Same as the National average","4.0"
"IRWIN COUNTY HOSPITAL","OCILLA","GA","IRWIN","Acute Care Hospitals","Government - Hospital District or Authority","False",34,"NOT AVAILABLE","Not Available","3.0"
"PAUL B HALL REGIONAL MEDICAL CENTER","PAINTSVILLE","KY","JOHNSON","Acute Care Hospitals","Proprietary","True",72,"NOT AVAILABLE","Same as the National average","3.0"
"SALINA SURGICAL HOSPITAL","SALINA","KS","SALINE","Acute Care Hospitals","Proprietary","False",16,"NOT AVAILABLE","Not Available","4.0"
"BAPTIST HEALTH LOUISVILLE","LOUISVILLE","KY","JEFFERSON","Acute Care Hospitals","Voluntary non-profit - Private","True",519,"NOT AVAILABLE","Same as the National average","4.0"
"MERCY HOSPITAL","MOUNDRIDGE","KS","MCPHERSON","Acute Care Hospitals","Voluntary non-profit - Church","True",21,"NOT AVAILABLE","Not Available","3.0"
"MERCY HOSPITAL","MOUNDRIDGE","KS","MCPHERSON","Acute Care Hospitals","Voluntary non-profit - Church","True",438,"NOT AVAILABLE","Not Available","3.0"
"MERCY HOSPITAL","MOUNDRIDGE","KS","MCPHERSON","Acute Care Hospitals","Voluntary non-profit - Church","True",271,"LEVEL II","Not Available","3.0"
"MERCY HOSPITAL","MOUNDRIDGE","KS","MCPHERSON","Acute Care Hospitals","Voluntary non-profit - Church","True",234,"LEVEL III","Not Available","3.0"
"MERCY HOSPITAL","MOUNDRIDGE","KS","MCPHERSON","Acute Care Hospitals","Voluntary non-profit - Church","True",488,"NOT AVAILABLE","Not Available","3.0"
"SWEDISH AMERICAN HOSPITAL","ROCKFORD","IL","WINNEBAGO","Acute Care Hospitals","Voluntary non-profit - Other","False",325,"LEVEL II","Same as the National average","4.0"
"BUENA VISTA REGIONAL MEDICAL CENTER","STORM LAKE","IA","BUENA VISTA","Critical Access Hospitals","Government - Local","True",35,"LEVEL IV","Same as the National average","3.0"
"ST FRANCIS HOSPITAL","COLUMBUS","GA","MUSCOGEE","Acute Care Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Below the National average","3.0"
"ST FRANCIS HOSPITAL","COLUMBUS","GA","MUSCOGEE","Acute Care Hospitals","Voluntary non-profit - Private","True",376,"NOT AVAILABLE","Below the National average","3.0"
"ST FRANCIS HOSPITAL","COLUMBUS","GA","MUSCOGEE","Acute Care Hospitals","Voluntary non-profit - Private","True",142,"NOT AVAILABLE","Below the National average","3.0"
"ST FRANCIS HOSPITAL","COLUMBUS","GA","MUSCOGEE","Acute Care Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Below the National average","3.0"
"TUFTS MEDICAL CENTER","BOSTON","MA","SUFFOLK","Acute Care Hospitals","Voluntary non-profit - Private","True",415,"LEVEL I","Above the National average","2.0"
"IROQUOIS MEMORIAL HOSPITAL","WATSEKA","IL","IROQUOIS","Acute Care Hospitals","Voluntary non-profit - Private","True",84,"NOT AVAILABLE","Same as the National average","2.0"
"ST ANTHONYS MEMORIAL HOSPITAL","EFFINGHAM","IL","EFFINGHAM","Acute Care Hospitals","Voluntary non-profit - Church","True",146,"NOT AVAILABLE","Same as the National average","4.0"
"NORWEGIAN-AMERICAN HOSPITAL","CHICAGO","IL","COOK","Acute Care Hospitals","Voluntary non-profit - Private","True",155,"NOT AVAILABLE","Same as the National average","2.0"
"PORTER REGIONAL HOSPITAL","VALPARAISO","IN","PORTER","Acute Care Hospitals","Proprietary","True",301,"NOT AVAILABLE","Above the National average","4.0"
"GIRARD MEDICAL CENTER","GIRARD","KS","CRAWFORD","Critical Access Hospitals","Government - Local","True",35,"LEVEL IV","Same as the National average","3.0"
"GIRARD MEDICAL CENTER","GIRARD","KS","CRAWFORD","Critical Access Hospitals","Government - Local","True",163,"NOT AVAILABLE","Same as the National average","3.0"
"PENOBSCOT BAY MEDICAL CENTER","ROCKPORT","ME","KNOX","Acute Care Hospitals","Voluntary non-profit - Private","True",109,"NOT AVAILABLE","Same as the National average","3.0"
"MOUNT AUBURN HOSPITAL","CAMBRIDGE","MA","MIDDLESEX","Acute Care Hospitals","Voluntary non-profit - Private","True",217,"NOT AVAILABLE","Above the National average","3.0"
"MERCY HARVARD HOSPITAL","HARVARD","IL","MCHENRY","Critical Access Hospitals","Voluntary non-profit - Private","True",35,"NOT AVAILABLE","Same as the National average","4.0"
"COFFEY COUNTY HOSPITAL","BURLINGTON","KS","COFFEY","Acute Care Hospitals","Government - Local","True",78,"NOT AVAILABLE","Same as the National average","4.0"
"PERRY COUNTY MEMORIAL HOSPITAL","TELL CITY","IN","PERRY","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"LEVEL III","Same as the National average","4.0"
"PERRY COUNTY MEMORIAL HOSPITAL","TELL CITY","IN","PERRY","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER","SANTA FE","NM","SANTA FE","Acute Care Hospitals","Voluntary non-profit - Private","True",200,"LEVEL III","Same as the National average","2.0"
"THE HEART HOSPITAL AT DEACONESS GATEWAY LLC","NEWBURGH","IN","WARRICK","Acute Care Hospitals","Proprietary","False",24,"NOT AVAILABLE","Same as the National average","4.0"
